title,link,published,summary,media_keywords,author,publisher,href
"The Best Gifts for New Moms, According to a New Mom",https://www.bonappetit.com/story/best-gifts-for-new-moms-mothers-day,"Tue, 19 Apr 2022 00:30:00 +0000",For moms going all in on homemade baby food and moms who just need an energy boost,"Shopping, Gift Guides",Shani Hillian,Condé Nast,
43 Chicken Breast Recipes You'll Actually Love Eating,https://www.bonappetit.com/recipes/chicken/slideshow/boneless-skinless-chicken-breast-recipes,"Mon, 18 Apr 2022 17:21:00 +0000","If you’ve always thought that chicken breast recipes have to be dry and boring, let us prove you wrong.",Chicken Breast,"Nico Avalle, Mehreen Karim",Condé Nast,
The 13 Best Cookbooks of 2022 (So Far),https://www.bonappetit.com/story/best-cookbooks-2022,"Sat, 16 Apr 2022 12:00:00 +0000","New cookbooks from Kwame Onwuachi, Eric Kim, and Benjamina Ebuehi that will shake up your routine.","Shopping, Cookbooks",Alex Beggs,Condé Nast,
To Macaroon or Macaron?,https://www.bonappetit.com/story/macaroons-vs-macarons,"Fri, 15 Apr 2022 18:00:00 +0000",Why is this macaroon different from all other macarons?,cooking,Kate Kassin,Condé Nast,
The Enduring Joy of a Well-Kept Restaurant Journal,https://www.bonappetit.com/story/restaurant-journal-notes-app-versus-food-photos,"Fri, 15 Apr 2022 17:30:00 +0000","When people ask me where I like to eat and what they should order, I can send them this intel.",Restaurants,Kate Kassin,Condé Nast,
Giant Cardamom Bun,https://www.bonappetit.com/recipe/giant-cardamom-bun,"Fri, 15 Apr 2022 16:51:17 +0000",Turn your kitchen into a Swedish bakery with this oversized take on the classic cardamom bun known as kardemummabulle.,"Breakfast, Snack, Bread, Nut-Free, Dessert, Cardamom, Swedish, Dough, Entertaining",Kelly Janke,Condé Nast,
The Best Bundt Pan Will Turn Out Maximal Cakes with Minimal Effort,https://www.bonappetit.com/story/best-bundt-pan,"Fri, 15 Apr 2022 16:00:00 +0000",Nordic Ware’s Anniversary Bundt is a classic for a reason.,"Shopping, Baking, Tools",Erin Jeanne McDowell,Condé Nast,
53 Easy Desserts for Those Last-Minute Sugar Cravings,https://www.bonappetit.com/recipes/desserts/slideshow/easy-dessert-recipes,"Fri, 15 Apr 2022 13:48:00 +0000","When you want something sweet and you want it now, look no further than these quick-fix treats.","Dessert, Easy",Bon Appétit,Condé Nast,
"11 Gardening Gifts for Mom, Because She Doesn’t Need Any More Candles this Mother's Day",https://www.bonappetit.com/gallery/mothers-day-gardening-gifts,"Fri, 15 Apr 2022 12:00:00 +0000",Fitting gifts from her little sprout (you).,"Shopping, Gifts, Gift Guides","Aliza Abarbanel, Tiffany Hopkins",Condé Nast,
Going to a Passover Seder? Here’s What You Need to Keep in Mind,https://www.bonappetit.com/story/passover-seder-tips,"Thu, 14 Apr 2022 21:30:00 +0000",A little advice for the newbies: Do bring your curiosity. Don’t bring that sourdough loaf.,,Samantha Mann,Condé Nast,
Overwintering Turns Bitter Vegetables Sweet. Could It Do the Same for Me?,https://www.bonappetit.com/story/overwintered-brassica,"Wed, 13 Apr 2022 19:00:00 +0000","First there's deep dormancy, then a glacial sense of growth, and then, finally, signs of hope.","Culture, essay",Jonathan Kauffman,Condé Nast,
Chicken Karaage,https://www.bonappetit.com/recipe/tori-kara-age,"Wed, 13 Apr 2022 15:09:00 +0000","This chicken karaage recipe promises full flavor from a soy-and-sake marinade and combines wheat flour, rice flour, and cornstarch for a super crisp crust.","Japanese, Fried Chicken, Chicken Thigh, Rice Flour, Starter, Main, Dairy-Free, Deep-fry, Dinner, Snack, Nut-Free",Biwa Portland OR,Condé Nast,
10-Minute Lamb and Asparagus Stir-Fry,https://www.bonappetit.com/recipe/10-minute-lamb-and-asparagus-stir-fry,"Wed, 13 Apr 2022 14:57:56 +0000","Eat this versatile stir-fry all spring long over grains, tucked into warm pita with yogurt sauce, or tossed with noodles.","Lunch, Dinner, Main, Nut-Free, Dairy-Free, Keto, Easy, Quick, Weeknight Meals, Ground Lamb, Lamb, Asparagus, Stir-Fry, Spring",Ali Slagle,Condé Nast,
